Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R
213,Jim Osborne,CHI,26,dt,12,3,,,,,
214,Bill Peterson,KAN,30,LLB,14,9,,,,,
215,Cal Peterson,DAL,23,,14,0,,,,,
216,Bo Rather,CHI,25,WR,14,14,,,,,
217,Ken Reaves,STL,31,SS,14,13,,,,,
218,Willie Rodgers,HOU,26,,14,0,,,,,
219,Oliver Ross,DEN,26,,14,0,,,,,
220,Tom Ruud,BUF,22,lb,14,4,,,,,
221,Andy Selfridge,NYG,26,llb,14,4,,,,,
222,Jeff Severson,DEN,26,db,14,3,,,,,
223,Jerry Sisemore,PHI,24,RT,14,14,,,,,
224,Jackie Smith,STL,35,TE,9,7,,,,,
225,Ted Thompson,HOU,22,,14,0,,,,,
226,Rusty Tillman,WAS,29,,14,0,,,,,
227,Ted Vactor,CHI,31,,4,0,,,,,
228,Charlie Waters,DAL,27,SS,14,14,,,,,
229,Terry Wells,GNB,24,,13,2,,,,,
230,C.L. Whittington,HOU,23,,14,9,,,,,
231,Delvin Williams,SFO,24,RB,14,12,,,,,
232,Stan Winfrey,MIA,22,,11,0,,,,,
233,Phil Wise,NYJ,26,db,5,4,,,,,
234,Roscoe Word,NYJ,23,RCB,14,9,,,,,
