Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R
35,Danny Colbert,SDG,24,PR,6,0,15,128,0,28,8.5
36,Glen Edwards,PIT,27,FS,14,14,16,128,0,19,8
37,Gary Hammond,STL,25,,12,0,17,125,0,21,7.4
38,Ray Rhodes,NYG,24,,14,0,10,124,0,40,12.4
39,Larry Marshall,2TM,24,,13,0,13,118,0,21,9.1
40,Tim Berra,BAL,23,PR,14,0,16,114,0,14,7.1
41,Larry Brunson,KAN,25,PR,14,5,19,111,0,29,5.8
42,Ray Brown,ATL,25,SS,14,14,9,96,0,23,10.7
43,Charlie Greer,DEN,28,FS,11,10,13,90,0,22,6.9
44,Jeff Severson,HOU,25,,14,4,11,86,0,24,7.8
45,Sam McCullum,MIN,22,,12,0,12,85,0,13,7.1
46,Ken Houston*,WAS,30,SS,14,14,6,81,1,58,13.5
47,Leon McQuay,NYG,24,KR,13,2,7,81,0,28,11.6
48,Lou Piccone,NYJ,25,KR,14,0,9,75,0,13,8.3
49,Golden Richards,DAL,24,WR,14,13,13,74,0,15,5.7
50,Rob Scribner,RAM,23,,11,0,8,70,0,23,8.8
51,Dick Conn,PIT,23,,12,0,10,69,0,18,6.9
52,Ray Jarvis,DET,25,wr,13,2,5,62,0,34,12.4
53,Bill Cahill,BUF,23,,14,1,10,62,0,15,6.2
54,Larry Jones,WAS,23,KR,13,0,8,54,0,13,6.8
55,Cotton Speyrer,BAL,25,KR,13,6,8,54,0,18,6.8
56,Jazz Jackson,NYJ,22,,13,1,6,49,0,38,8.2
57,Mike Holmes,SFO,24,fs/KR,13,6,9,45,0,22,5
58,Jerry LeVias,SDG,28,wr,13,5,5,41,0,22,8.2
59,Roger Wehrli*,STL,27,RCB,14,14,4,39,0,32,9.8
60,Dick Gordon,SDG,30,KR,7,3,8,39,0,12,4.9
61,George Hoey,SDG,28,fs,13,8,4,38,0,15,9.5
62,Bruce Taylor,SFO,26,RCB,14,10,10,38,0,21,3.8
63,Lem Barney,DET,29,LCB,13,12,5,37,0,11,7.4
64,Chris Farasopoulos,NOR,25,,6,1,3,36,0,18,12
65,Bill Knox,CHI,23,,14,0,5,35,0,12,7
66,Floyd Little,DEN,32,RB,14,9,4,34,0,17,8.5
67,Harrison Davis,SDG,22,WR,12,7,4,34,0,16,8.5
68,Charlie West,DET,28,SS,13,10,6,32,0,9,5.3
69,Freddie Scott,BAL,22,wr,14,2,3,31,0,14,10.3
70,George Atkinson,OAK,27,SS,14,14,4,31,0,13,7.8
71,Kerry Reardon,KAN,25,,11,5,4,30,0,19,7.5
72,Bruce Laird,BAL,24,SS,14,14,11,30,0,10,2.7
73,Charlie Babb,MIA,24,,14,0,2,29,0,20,14.5
74,Lyle Blackwood,CIN,23,db,13,2,10,29,0,11,2.9
75,Tim Rudnick,BAL,22,,14,0,2,23,0,12,11.5
76,Pete Van Valkenberg,2TM,24,,11,0,4,22,0,14,5.5
77,Woody Green,KAN,23,FB,10,7,5,21,0,8,4.2
78,Speedy Duncan,WAS,32,,2,0,3,19,0,11,6.3
79,Steve Schubert,NWE,23,wr,8,3,3,15,0,11,5
80,Doug Kotar,NYG,23,RB,12,7,3,14,0,11,4.7
81,Gary Hayman,BUF,23,,1,0,2,13,0,11,6.5
82,Carl Capria,DET,22,,12,0,1,12,0,12,12
83,Marion Reeves,PHI,22,,14,0,3,12,0,9,4
84,Bob Hayes,DAL,32,,12,0,2,11,0,6,5.5
85,Bobby Brooks,NYG,23,,14,0,1,9,0,9,9
86,Dick Anderson*,MIA,28,SS,14,14,3,9,0,6,3
87,Charlie Waters,DAL,26,LCB,14,8,1,8,0,8,8
88,Norm Hodgins,CHI,22,,14,0,2,8,0,8,4
89,Willie Belton,STL,26,,5,0,4,8,0,6,2
90,Jim Beirne,SDG,28,,14,0,1,7,0,7,7
91,Charlie Smith,PHI,24,,14,0,4,7,0,11,1.8
92,Ernie Jackson,NOR,24,LCB,13,9,2,3,0,3,1.5
93,Ken Ellis*,GNB,27,RCB,14,14,3,3,0,9,1
94,Ken Stone,WAS,24,,14,0,1,2,0,2,2
95,Sandy Durko,NWE,26,db,11,4,1,1,0,1,1
96,Rex Kern,BUF,25,,8,0,1,1,0,1,1
97,Rick Volk,BAL,29,FS,14,14,1,1,0,1,1
98,Billy Lefear,CLE,24,KR,11,0,2,1,0,1,0.5
99,Eddie Brown,CLE,22,,13,3,2,0,0,0,0
100,Eddie Hinton,NWE,27,wr,9,1,1,0,0,0,0
101,Ted Fritsch,ATL,24,,14,0,1,0,0,0,0
102,Donnie Joe Morris,KAN,24,,3,0,1,0,0,0,0
103,Eric Torkelson,GNB,22,,14,0,1,0,0,0,0
104,Tony Bertuca,BAL,24,,14,0,1,0,0,0,0
105,Larry Hefner,GNB,25,,14,1,1,0,0,0,0
106,Rod McNeill,NOR,23,,11,0,1,0,0,0,0
107,Mel Renfro,DAL,33,RCB,11,11,1,0,0,0,0
108,Henry Stuckey,MIA,24,,14,2,1,0,0,0,0
109,Jim Tolbert,STL,30,SS,14,10,1,0,0,0,0
110,Wally Hilgenberg,MIN,32,RLB,13,13,1,-2,0,-2,-2
111,Jimmie Jones,DET,24,KR,14,2,,,,,
112,Wallace Francis,BUF,23,KR,14,0,,,,,
113,Bernard Jackson,CIN,24,KR/SS,14,13,,,,,
114,Cliff Taylor,CHI,22,KR,14,0,,,,,
115,Bill Thomas,KAN,25,KR,14,0,,,,,
116,Brent McClanahan,MIN,23,KR,14,0,,,,,
117,Ken Grandberry,CHI,22,RB,14,8,,,,,
118,Harold Hart,OAK,22,,13,0,,,,,
119,Otis Armstrong*+,DEN,24,FB/KR/rb,14,14,,,,,
120,Andy Johnson,NWE,22,rb,14,3,,,,,
121,Randy Jackson,PHI,26,,14,1,,,,,
122,Cleo Miller,KAN,22,,14,2,,,,,
123,Charlie Davis,CIN,22,RB,14,9,,,,,
124,Steve Davis,PIT,26,KR,14,6,,,,,
125,Hubert Ginn,MIA,27,,9,0,,,,,
126,Po James,PHI,25,rb,11,5,,,,,
127,Willie McGee,RAM,24,,14,0,,,,,
128,Preston Pearson,PIT,29,,9,2,,,,,
129,Tom Thompson,SDG,23,,12,0,,,,,
130,Charlie Leigh,2TM,29,,11,0,,,,,
131,Tom Geredine,ATL,24,,12,14,,,,,
132,Bob Gresham,HOU,26,,14,0,,,,,
133,Pete Banaszak,OAK,30,rb,14,1,,,,,
134,Molly McGee,ATL,22,,10,1,,,,,
135,Eddie Moss,STL,26,,11,0,,,,,
136,Charley Young,DAL,22,,14,0,,,,,
137,Jess Phillips,NOR,27,FB,14,13,,,,,
138,Oliver Ross,DEN,25,,7,0,,,,,
139,Vic Washington,HOU,28,RB,12,5,,,,,
140,Don Calhoun,BUF,22,rb,14,1,,,,,
141,Benny Malone,MIA,22,rb,13,3,,,,,
142,Mel Blount,PIT,26,RCB,13,13,,,,,
143,Dexter Bussey,DET,22,,11,0,,,,,
144,Rick Byas,ATL,24,,14,1,,,,,
145,Wilbur Jackson,SFO,23,RB,14,13,,,,,
146,Bob Matheson,MIA,30,LLB,14,8,,,,,
147,Jim Romaniszyn,CLE,23,,14,0,,,,,
148,Hank Bjorklund,NYJ,24,,13,0,,,,,
149,Joe Dawkins,NYG,26,FB,14,13,,,,,
150,Charlie Evans,WAS,26,,6,0,,,,,
151,Les Goodman,GNB,24,,13,2,,,,,
152,Reggie Harrison,2TM,23,,5,0,,,,,
153,Jon Keyworth,DEN,24,fb,14,5,,,,,
154,Ken Mitchell,ATL,26,,14,0,,,,,
155,Rocky Bleier,PIT,28,RB,12,7,,,,,
156,Bill Brown,MIN,36,,14,0,,,,,
157,Boyd Brown,DEN,22,,14,0,,,,,
158,Robert Burns,NYJ,22,,14,2,,,,,
159,Ronnie Coleman,HOU,23,,13,4,,,,,
160,Bo Cornell,BUF,25,LOLB,14,3,,,,,
161,Ken Criter,DEN,27,,14,0,,,,,
162,Clarence Davis,OAK,25,RB,11,7,,,,,
163,Doug Dennison,DAL,23,,12,0,,,,,
164,Doug Dressler,CIN,26,,13,4,,,,,
165,John Gilliam*,MIN,29,WR,14,14,,,,,
166,Brian Kelley,NYG,23,MLB,13,10,,,,,
167,John McDaniel,CIN,23,,14,1,,,,,
168,Joe Orduna,BAL,26,,14,0,,,,,
169,Burgess Owens,NYJ,23,SS,14,14,,,,,
170,Fred Pagac,CHI,22,TE,14,14,,,,,
171,Gary Parris,SDG,24,te,14,1,,,,,
172,C.L. Whittington,HOU,22,,14,9,,,,,
173,Don Woods,SDG,23,RB,12,9,,,,,
174,Mickey Zofko,2TM,25,,11,0,,,,,
175,Mike Adamle,NYJ,25,,12,3,,,,,
176,George Amundson,HOU,23,,14,3,,,,,
177,John Cappelletti,RAM,22,rb,14,1,,,,,
178,Don Coleman,NOR,22,,14,0,,,,,
179,Steve Crosby,NYG,24,,9,0,,,,,
180,Moses Denson,WAS,30,FB,13,8,,,,,
181,Ray Easterling,ATL,25,,14,0,,,,,
182,Joe Federspiel,NOR,24,MLB,14,14,,,,,
183,Dave Gagnon,CHI,23,,13,0,,,,,
184,Ron Jessie,DET,26,WR,12,12,,,,,
185,Sammy Johnson,SFO,22,,14,0,,,,,
186,David Knight,NYJ,23,WR,14,13,,,,,
187,Kent Kramer,PHI,30,,14,0,,,,,
188,Jack LeVeck,STL,24,,13,0,,,,,
189,Ron Mayo,BAL,24,,9,0,,,,,
190,Rick Middleton,NOR,23,,14,0,,,,,
191,Steve Okoniewski,GNB,25,RDT,14,14,,,,,
192,Eldridge Small,NYG,25,RCB,12,10,,,,,
193,Larry Smith,WAS,27,rb,7,6,,,,,
194,Les Strayhorn,DAL,23,,13,0,,,,,
195,John Tanner,NWE,29,lb,13,2,,,,,
196,Bob Thomas,SDG,26,rb,14,2,,,,,
197,Ed Williams,CIN,24,,14,3,,,,,
198,Joe Wilson,NWE,24,,12,0,,,,,
199,Jimmy Allen,PIT,22,db,14,1,,,,,
200,John Andrews,BAL,26,,14,1,,,,,
201,Tom Bailey,PHI,25,,11,0,,,,,
202,Melvin Baker,MIA,24,,9,0,,,,,
203,Warren Bankston,OAK,27,,14,0,,,,,
204,Mike Bass,WAS,29,RCB,14,14,,,,,
205,Morris Bradshaw,OAK,22,,12,0,,,,,
206,Ken Brown,CLE,29,,14,13,,,,,
207,Bill Butler,NOR,24,,14,2,,,,,
208,J.V. Cain,STL,23,te,14,3,,,,,
209,Wes Chesson,PHI,25,,12,0,,,,,
210,Henry Childs,2TM,23,,7,0,,,,,
211,Neal Craig,BUF,26,SS,14,14,,,,,
212,Leon Crosswhite,DET,23,rb,14,1,,,,,
213,Bob Crum,STL,23,,14,0,,,,,
214,Pat Curran,RAM,29,,13,0,,,,,
215,Dave Davis,NOR,26,,7,0,,,,,
216,Guy Dennis,DET,27,lg,12,5,,,,,
217,Lenny Dunlap,SDG,25,db,8,2,,,,,
218,Brad Dusek,WAS,24,,14,0,,,,,
219,Lenvil Elliott,CIN,23,,10,2,,,,,
220,Roger Finnie,STL,29,lg,14,7,,,,,
221,Chuck Foreman*,MIN,24,FB,13,13,,,,,
222,Dave Gallagher,CHI,22,LDE,14,11,,,,,
223,Tommy Humphrey,KAN,24,,5,0,,,,,
224,Sam Hunt,NWE,23,RILB,14,14,,,,,
225,Al Johnson,HOU,24,SS,14,9,,,,,
226,Levi Johnson,DET,24,RCB,14,13,,,,,
227,Doug Jones,KAN,24,,14,0,,,,,
228,Harris Jones,HOU,29,LG,11,9,,,,,
229,Tom Keating,KAN,32,LDT,14,12,,,,,
230,Rick Kingrea,NOR,25,,14,0,,,,,
231,Steve Kinney,CHI,25,,10,5,,,,,
232,Roy Kirksey,PHI,27,,13,4,,,,,
233,Larry Krause,GNB,26,,14,0,,,,,
234,Odell Lawson,NOR,26,,9,0,,,,,
235,Ed Marinaro,MIN,24,,14,1,,,,,
236,Don McCauley,BAL,25,,13,0,,,,,
237,Ray Oldham,BAL,23,LCB,14,10,,,,,
238,Dave Osborn,MIN,31,RB,13,10,,,,,
239,Clyde Powers,NYG,23,ss,14,4,,,,,
240,Ahmad Rashad,BUF,25,WR,14,14,,,,,
241,Ken Reaves,2TM,30,,11,11,,,,,
242,Dan Ryczek,WAS,25,,14,0,,,,,
243,Paul Ryczek,ATL,22,,14,0,,,,,
244,Ron Saul,HOU,26,,14,5,,,,,
245,Terry Schmidt,NOR,22,RCB,9,9,,,,,
246,Donnell Smith,NWE,25,,9,0,,,,,
247,Mo Spencer,2TM,22,,12,0,,,,,
248,Wayne Stewart,SDG,27,TE,14,14,,,,,
249,Rusty Tillman,WAS,28,lb,14,1,,,,,
250,Larry Walton,DET,27,WR,13,13,,,,,
251,Robert West,SFO,24,,10,0,,,,,
252,Jim Youngblood,RAM,24,,14,0,,,,,
253,Don Zimmerman,PHI,25,WR,14,14,,,,,
